name,author,publisher,date,price,rate,comment,url
尼罗河上的惨案,[英] 阿加莎·克里斯蒂,人民文学出版社,2006-5,22.00元,8.7,阿婆代表作之一,https://book.douban.com/subject/1818347/
一千零一夜,纳训,人民文学出版社,2003-01,22.0,8.6,空,https://book.douban.com/subject/1035848/
生活在别处,[捷克] 米兰·昆德拉,上海译文出版社,2004-5,25.00元,8.4,此处的生活唯有残酷,https://book.douban.com/subject/1013225/
人间词话,王国维,上海古籍出版社,1998-12-01,9.80元,9.0,空,https://book.douban.com/subject/1203426/
激荡三十年（上）,吴晓波,中信出版社 浙江人民出版社,2007-1,35.00,8.8,这是一个最好的时代，也是一个最坏的时代,https://book.douban.com/subject/1970428/
设计中的设计,[日] 原研哉,山东人民出版社,2006-11,48.00元,8.6,日常生活的无限可能性,https://book.douban.com/subject/1941558/
心是孤独的猎手,[美] 卡森·麦卡勒斯,上海三联书店,2005-8,25.00元,8.5,镇上有两个哑巴，他们总是在一起。,https://book.douban.com/subject/1424741/
雨季不再来,三毛,北京十月文艺出版社,2007-7,28.00元,8.7,空,https://book.douban.com/subject/2136140/
佛祖在一号线,李海鹏,文化艺术出版社,2010-6,25.00元,8.2,嬉笑怒骂的常识分子,https://book.douban.com/subject/4872671/
我执,梁文道,广西师范大学出版社,2010-10,35.00元,8.0,梁文道的私密日记,https://book.douban.com/subject/3642673/
面纱,(英)W.萨默塞特·毛姆,重庆,2012-05-01,32.00元,8.7,空,https://book.douban.com/subject/10560798/
我的精神家园,王小波,文化艺术出版社,1997,18.80元,9.1,活过，爱过，写过,https://book.douban.com/subject/1014578/
新名字的故事,[意] 埃莱娜·费兰特,人民文学出版社,2017-4,59.00元,9.0,空,https://book.douban.com/subject/26986954/
第一炉香,张爱玲,花城出版社,1997-3,11.5,8.4,空,https://book.douban.com/subject/1082162/
妻妾成群,苏童,上海文艺出版社,2004-8,23.00元,8.2,空,https://book.douban.com/subject/1025753/
九州·缥缈录,江南,新世界出版社,2005-6,20.00元,8.8,乱世的英雄史诗,https://book.douban.com/subject/1321017/
海子的诗,海子,人民文学出版社,1999-04,15.40,8.9,空,https://book.douban.com/subject/1011754/
偷书贼,[澳] 马克斯·苏萨克,南海出版公司,2007-8,25.00元,8.0,不能说偷，是窃，窃你懂吗,https://book.douban.com/subject/2180619/
芳华,严歌苓,人民文学出版社,2017-4-1,39.00元,8.1,空,https://book.douban.com/subject/27010212/
野火集,龙应台,文汇出版社,2005-8,25.00元,8.8,中国人你为什么不生气？,https://book.douban.com/subject/1426971/
娱乐至死,[美] 尼尔·波兹曼,广西师范大学出版社,2011-6,29.80元,8.6,空,https://book.douban.com/subject/1062193/
教父,[美]马里奥·普佐,译林出版社,1997-8,23.30元,9.0,空,https://book.douban.com/subject/1092335/
万水千山走遍,三毛,哈尔滨出版社,2003-08,13.80,8.8,空,https://book.douban.com/subject/1036490/
占星术杀人魔法,[日] 岛田庄司,新星出版社,2008-9,28.00,8.3,一桩占星术连续杀人案件,https://book.douban.com/subject/3187737/
哈姆莱特,[英] 莎士比亚,人民文学出版社,2001-1,7.00元,8.5,空,https://book.douban.com/subject/1006197/
斯通纳,[美] 约翰·威廉斯,上海人民出版社,2016-1,49.00元,8.8,空,https://book.douban.com/subject/26425831/
舞！舞！舞！,[日] 村上春树,上海译文出版社,2002-6,25.00元,8.3,深入村上春树的心灵腹地,https://book.douban.com/subject/1020670/
浪潮之巅,吴军,电子工业出版社,2011-8,55.00元,9.1,了解IT领域的入门读物,https://book.douban.com/subject/6709783/
台北人,白先勇,广西师范大学出版社,2010-10,38.00元,8.9,空,https://book.douban.com/subject/5337248/
雾都孤儿,[英]狄更斯,上海译文出版社,1991-7,10.10元,8.1,空,https://book.douban.com/subject/1203251/
动物凶猛,王朔,中国电影出版社,2004年02月,15.50元,8.3,空,https://book.douban.com/subject/1143694/
子不语1,夏达,新世纪出版社,2009-12,RMB36.00,9.0,空,https://book.douban.com/subject/4188697/
小姨多鹤,严歌苓,作家出版社,2008-4,28.00元,8.6,空,https://book.douban.com/subject/3012517/
高效能人士的七个习惯（精华版）,[美] 史蒂芬·柯维,中国青年出版社,2011-6,29.00元,8.2,空,https://book.douban.com/subject/1048007/
新参者,[日] 东野圭吾,南海出版公司,2011-9,28.00元,8.4,空,https://book.douban.com/subject/6746289/
爱的艺术,[美] 艾·弗洛姆,上海译文出版社,2008-4,15.00元,8.8,空,https://book.douban.com/subject/3026879/
罗杰疑案,[英] 阿加莎·克里斯蒂,人民文学出版社,2006-5,21.00元,8.9,空,https://book.douban.com/subject/1807516/
夹边沟记事,杨显惠,花城出版社,2008-09,34.00元,9.2,空,https://book.douban.com/subject/3239549/
白银时代,王小波,花城出版社,1997-5,10.00元,8.4,空,https://book.douban.com/subject/1082150/
动物庄园,（英）乔治·奥威尔,上海人民出版社,2000-08,18.00,9.1,空,https://book.douban.com/subject/1018136/
琅琊榜,海宴,朝华出版社,2007-12,49.80元,8.5,空,https://book.douban.com/subject/2326571/
观念的水位,刘瑜,浙江大学出版社,2013-1,36.00元,8.3,空,https://book.douban.com/subject/20463108/
枪炮、病菌与钢铁,[美] 贾雷德·戴蒙德,上海世纪出版集团,2006-4-1,45.00元,8.8,空,https://book.douban.com/subject/1813841/
巨流河,齐邦媛,生活·读书·新知三联书店,2010-10,39.00元,8.7,空,https://book.douban.com/subject/4842446/
红拂夜奔,王小波,江苏文艺出版社,2005-1,28.00元,8.6,空,https://book.douban.com/subject/1418686/
告白,湊佳苗,時報文化,2009-8,NT$250,8.6,空,https://book.douban.com/subject/3920130/
一个叫欧维的男人决定去死,[瑞典] 弗雷德里克·巴克曼,四川文艺出版社,2015-12,35.00元,9.0,空,https://book.douban.com/subject/26672693/
中国大历史,黄仁宇,生活·读书·新知三联书店,2007-2,19.00元,8.3,空,https://book.douban.com/subject/1015699/
寻羊冒险记,[日] 村上春树,上海译文出版社,2001-8,18.80元,8.1,空,https://book.douban.com/subject/1031740/
云中歌1,桐华,作家出版社,2007-9,24.80元,8.1,空,https://book.douban.com/subject/2283084/
来不及说我爱你,匪我思存,新世界出版社,2006-9,20.00元,8.1,空,https://book.douban.com/subject/1886385/
相约星期二,[美] 米奇·阿尔博姆,上海译文出版社,2007-7,19.00元,8.4,空,https://book.douban.com/subject/2194123/
带一本书去巴黎,林达,生活·读书·新知三联书店,2002-5,35.00元,8.5,空,https://book.douban.com/subject/1001885/
可爱的洪水猛兽,韩寒,万卷出版公司,2009-08-01,25.00元,8.1,空,https://book.douban.com/subject/3860856/
退步集,陈丹青,广西师范大学出版社,2005-1,38.00元,8.1,空,https://book.douban.com/subject/1003284/
